"","User.country","Nr..reviews","Nr..hotel.reviews","Helpful.votes","Score","Period.of.stay","Traveler.type","Pool","Gym","Tennis.court","Spa","Casino","Free.internet","Hotel.name","Hotel.stars","Nr..rooms","User.continent","Member.years","Review.month","Review.weekday"
"62","Canada",12,8,3,4,"Mar-May","Friends","YES","YES","YES","YES","YES","YES","Treasure Island- TI Hotel & Casino",4,2884,"North America",2,"March","Saturday"
"63","UK",61,13,26,2,"Dec-Feb","Couples","YES","YES","NO","NO","NO","YES","Hilton Grand Vacations at the Flamingo",3,315,"Europe",4,"February","Sunday"
"64","Germany",113,15,55,5,"Mar-May","Families","YES","YES","NO","YES","YES","YES","The Cosmopolitan Las Vegas",5,2959,"Europe",8,"May","Thursday"
"65","Brazil",11,5,9,5,"Mar-May","Couples","YES","YES","YES","YES","YES","YES","Tuscany Las Vegas Suites & Casino",3,716,"South America",7,"April","Monday"
"66","Honduras",73,32,99,4,"Mar-May","Friends","YES","YES","NO","YES","YES","YES","Encore at wynn Las Vegas",5,2034,"South America",10,"April","Thursday"
"67","USA",19,7,5,5,"Mar-May","Couples","YES","YES","NO","YES","YES","YES","The Venetian Las Vegas Hotel",5,4027,"North America",5,"March","Wednesday"
"68","UK",22,6,6,5,"Sep-Nov","Friends","YES","YES","YES","YES","YES","YES","Tropicana Las Vegas - A Double Tree by Hilton Hotel",4,1467,"Europe",1,"October","Tuesday"
"69","Norway",25,10,16,5,"Sep-Nov","Friends","YES","NO","NO","NO","YES","YES","The Cromwell",4,NA,"",NA,"",""
"70","USA",24,3,5,5,"Sep-Nov","Couples","YES","YES","NO","YES","YES","YES","Paris Las Vegas",4,2916,"North America",0,"November","Sunday"
"71","Thailand",4,3,1,5,"Sep-Nov","Couples","YES","YES","YES","YES","YES","YES","Treasure Island- TI Hotel & Casino",4,2884,"Asia",7,"November","Friday"
"72","Singapore",16,10,11,5,"Dec-Feb","Families","YES","YES","NO","YES","YES","YES","The Venetian Las Vegas Hotel",5,4027,"Asia",9,"December","Thursday"
"73","USA",182,24,47,4,"Sep-Nov","Families","YES","YES","YES","NO","NO","YES","Wyndham Grand Desert",3,NA,"",NA,"",""
"74","Canada",54,18,31,4,"Jun-Aug","Friends","YES","YES","NO","YES","YES","YES","Caesars Palace",5,3348,"North America",5,"August","Wednesday"
"75","USA",15,14,7,4,"Mar-May","Friends","YES","YES","YES","YES","YES","YES","Treasure Island- TI Hotel & Casino",4,2884,"North America",9,"April","Tuesday"
"76","UK",19,5,5,5,"Mar-May","Couples","YES","YES","YES","YES","YES","YES","Wynn Las Vegas",5,2700,"Europe",3,"May","Monday"
"77","Singapore",19,11,17,4,"Mar-May","Families","YES","YES","NO","YES","YES","YES","Trump International Hotel Las Vegas",5,1282,"Asia",7,"May","Friday"
"78","USA",4,4,2,2,"Dec-Feb","Couples","YES","YES","NO","YES","YES","YES","Paris Las Vegas",4,2916,"North America",1,"February","Wednesday"
"79","Australia",11,7,17,5,"Sep-Nov","Couples","YES","YES","NO","YES","YES","YES","Trump International Hotel Las Vegas",5,1282,"Oceania",2,"October","Saturday"
"80","USA",30,8,10,2,"Mar-May","Business","YES","YES","NO","YES","YES","YES","The Cosmopolitan Las Vegas",5,2959,"North America",1,"May","Wednesday"
"81","USA",38,18,16,5,"Jun-Aug","Couples","YES","YES","NO","YES","YES","YES","Trump International Hotel Las Vegas",5,1282,"North America",8,"June","Sunday"
"82","USA",1,0,1,5,"Mar-May","Couples","YES","YES","NO","YES","YES","YES","Trump International Hotel Las Vegas",5,1282,"North America",0,"April","Wednesday"
"83","UK",57,20,71,5,"Mar-May","Business","YES","YES","NO","YES","YES","YES","The Palazzo Resort Hotel Casino",5,3025,"Europe",0,"May","Friday"
"84","USA",24,3,5,5,"Sep-Nov","Couples","YES","YES","NO","YES","YES","YES","Paris Las Vegas",4,2916,"North America",0,"November","Sunday"
"85","Canada",12,7,11,2,"Sep-Nov","Business","YES","YES","YES","YES","YES","YES","Wynn Las Vegas",5,2700,"North America",4,"September","Monday"
"86","USA",63,16,59,3,"Sep-Nov","Couples","YES","YES","NO","YES","YES","YES","The Westin las Vegas Hotel Casino & Spa",4,826,"North America",11,"September","Wednesday"
"87","USA",31,10,14,4,"Mar-May","Couples","YES","YES","NO","YES","YES","YES","The Palazzo Resort Hotel Casino",5,3025,"North America",5,"April","Sunday"
"88","UK",10,5,2,4,"Sep-Nov","Couples","NO","YES","NO","NO","YES","YES","Circus Circus Hotel & Casino Las Vegas",3,3773,"Europe",7,"November","Saturday"
"89","Canada",19,3,12,5,"Dec-Feb","Couples","YES","YES","NO","YES","YES","YES","Paris Las Vegas",4,2916,"North America",1,"January","Wednesday"
"90","USA",12,5,1,5,"Sep-Nov","Couples","YES","YES","NO","YES","YES","YES","Encore at wynn Las Vegas",5,2034,"North America",5,"October","Friday"
"91","Hungary",8,5,8,4,"Sep-Nov","Couples","YES","YES","NO","YES","YES","NO","Monte Carlo Resort&Casino",4,3003,"Europe",8,"November","Friday"
"92","USA",2,0,1,5,"Jun-Aug","Couples","YES","NO","NO","NO","YES","YES","The Cromwell",4,NA,"",NA,"",""
"93","UK",61,13,26,2,"Dec-Feb","Couples","YES","YES","NO","NO","NO","YES","Hilton Grand Vacations at the Flamingo",3,315,"Europe",4,"February","Sunday"
"94","Mexico",22,15,25,4,"Sep-Nov","Families","YES","YES","NO","YES","YES","YES","Hilton Grand Vacations on the Boulevard",3,NA,"",NA,"",""
"95","Netherlands",184,52,70,5,"Jun-Aug","Couples","YES","NO","NO","NO","YES","YES","The Cromwell",4,NA,"",NA,"",""
"96","Canada",14,0,4,2,"Mar-May","Families","YES","NO","NO","NO","YES","YES","The Cromwell",4,NA,"",NA,"",""
"97","USA",161,33,85,4,"Dec-Feb","Couples","YES","YES","NO","YES","YES","YES","Caesars Palace",5,3348,"North America",3,"January","Friday"
"98","Canada",12,7,11,3,"Mar-May","Families","NO","YES","NO","NO","YES","YES","Circus Circus Hotel & Casino Las Vegas",3,3773,"North America",5,"May","Tuesday"
"99","USA",9,8,1,5,"Jun-Aug","Couples","YES","YES","NO","YES","YES","YES","The Westin las Vegas Hotel Casino & Spa",4,826,"North America",6,"July","Monday"
"100","Canada",46,39,42,4,"Mar-May","Business","YES","YES","NO","NO","YES","YES","Marriott's Grand Chateau",3,NA,"",NA,"",""
